คำเมือง, คำไทย
จายคา, ชายคา
ก้นตู, ด้านหลังของบ้าน
เหล๋กกน, ตะปู
เติ๋น, โถงหน้าห้องนอน
แม่ปะตู๋, ธรณีประดู
แม่ต้อดปะตู๋, ธรณีประดู
คันไค, บันได
ผาม, ปะรำ
ปั้นลม, ปั้นลม
ป้านลม, ปั้นลม
ปะตู๋, ประตู
ปู๋นขาว, ปูนขาว
แป๋, แป
โบสถ์, โบสถ์
ฝา, ฝา
ฝาแป้น, ฝา
ฝาถึม, ฝา
พ้า, พร้า
ค่วน, เพดาน
เพดาน, เพดาน
ฟาก, ฟาก
ไม้แป้น, ไม้กระดาน
ไม้เมตร, ไม้เมตร
ไม้ก้านฝ้า, ไม้ระแนง
ไม้กั้นฝ้า, ไม้ระแนง
หลองเข้า, ยุ้งข้าว
แวง, รอด
ฮั้ว, รั้ว
ฮาว, ราว
ฮ้าน, ร้าน
เฮือน, เรือน
โฮง, โรง
โฮงคัว, โรงครัว
เถียงนา, โรงนา
ห้างนา, โรงนา
โฮงยา, โรงพยาบาล
โฮงพักก, โรงพัก
โฮงเฮียน, โรงเรียน
เลื่อย, เลื่อย
หล้อง, โลงศพ
โลง, โลงศพ
วั่ด, วัด
วิหาร, วิหาร
ศาลา, ศาลา
แซ่ว, สลัก
ขัว, สะพาน
เหล๋กจี, สว่าน
สิ่ว, สิ่ว
เสา, เสา
เสาป๋อก, เสาตอม่อ
เสามงกน, เสาเอก
ฐาน, ส้วมพระ
หน้ามุข, หน้ามุข
ป่อง, หน้าต่าง
หน้าป่อง, หน้าต่าง
หลังคา, หลังคา
หอ, หอ
เฮือนไฟ, ห้องครัว
คัวไฟ, ห้องครัว
ห้องนอน, ห้องนอน
ส้วม, ห้องส้วม
วิ่ดขี้, ห้องส้วม
วิ่ด, ห้องส้วม
ต๊อมน้ำ, ห้องอาบน้ำ
ห้องอาบน้ำ, ห้องอาบน้ำ
ห้าง, ห้าง
ดินกี่, อิฐ
ดินจี่, อิฐ
ละแอน, กระชาย
หอมเดียม, กระเทียม
หอมขาว, กระเทียม
กะทิ่, กะทิ
กะปิ๋, กะปิ
กั๋บเข้า, กับข้าว
ของกิ๋น, กับข้าว
ของกินสุ๋ก, กับข้าวสำเร็จรูป
ดอกจั๋น, กานพลู
มะแขว่น, กำจัด
มะแข่น, กำจัด
เกื๋อ, เกลือ
แก๋ง, แกง
ต้มจืด, แกงจืด
เข้าหนมเส้น, ขนมจีน
เข้าหนมจ๋อก, ขนมเทียน
เข้าแต๋น, ขนมนางเล็ด
เข้าหมิ้น, ขมิ้น
ข่า, ข่า
เข้าควบ, ข้าวเกรียบว่าว
เข้าจ้าว, ข้าวเจ้า
เข้าต้ม, ข้าวต้ม
เข้าต้มกะทิ่, ข้าวต้มผัด
เข้าต้มกะทิ่, ข้าวต้มมัด
เข้ามัน, ข้าวมันไก่
เข้าเปือก, ข้าวเปลือก
เข้าเจ๊า, ข้าวมี้อเช้า
เข้างาย, ข้าวมี้อเช้า
เข้าตอน, ข้าวมื้อเที่ยง
เข้าแลง, ข้าวมือเย็น
เข้าเหม้า, ข้าวเม่า
เข้าหุง, ข้าวสวย
เข้าจ้าว, ข้าวสวย
เข้าสาร, ข้าวสาร
เข้าหมาก, ข้าวหมาก
เข้าหวาน, ข้าวหมาก
เข้าหลาม, ข้าวหลาม
เข้ามัน, ข้าวเหนียวสังขยา
เข้ามัน, ข้าวเหนียวมะม่วง
เข้าหนึ้ง, ข้าวเหนียว
เข้ากํ่า, ข้าวเหนียวดำ
ขิง, ขิง
ห่อแอ๋บ, งบ
งา, งา
จั๋กไค, ตะไคร้
น้ำจิ้ม, น้ำจิ้ม
นํ้าต๋าน, น้ำตาล
น้ำป๋า, น้ำปลา
น้ำพิ่ก, น้ำพริก
น้ำมัน, น้ำมัน
น้ำส้ม, น้ำส้ม
