ข้าว, เข้า
บุหรี่, บูลี
ปลากรอบ, ป๋าแห้ง
ปลาย่าง, ป๋าแห้ง
ปลากระป๋อง, ป๋ากั๋บ
ปลาเค็ม, ป๋าเกื๋อ
ปลาร้า, ฮ้า
ปลาร้า, ป๋าฮ้า
ปลาแห้ง, ป๋าบ้วง
พริกขี้หนู, พิ่กแต้
พริกขี้หนู, พิ่กหน้อย
พริกไทย, พิ่กน้อย
พริกสด, พิ่กหนุ่ม
พริกสด, พิ่กดิ๋บ
พริกแห้ง, พิ่กแห้ง
มะกรูด, มะขูด
มะนาว, มะนาว
ยี่หร่า, เตียนแถบ
ยี่หร่า, ผั๋กจี
ลูกชิด, มะต๋าว
วุ้น, งุ้น
วุ้นเสัน, งุ้นเสัน
ส้มฟัก, ป๋าส้ม
หมาก, หมาก
หมูทอด, จี๊นทอด
ห่อหมก, ห่อหนึ้ง
หัวหอม, หอมบั่ว
เหมี้ยง, เหมี้ยง
แหนม, จี๊นส้ม
กระบก, มะมื่น
กะเพรา, ก้อมก้อดำ
กะเพรา, กะเพา
กระถิน, กะถิน
กลอย, ก๋อย
กะหลํ่าดอก, กะหลํ่าดอก
กะหลํ่าปลี, กะหลํ่าปี๋
กะทกรก, ผั๋กแคบฝลั่ง
ไข่น้ำ, ผำ
ขึ้นฉ่าย, ผั๋กกํ๋าปืน
คูน, ตูน
ชะพลู, ผั๋กแค
ชะพลู, ผั๋กปูน่ก
ชะอม, ผั๋กล๋ะ
ดอกแค, ดอกแก
ดอกขจร, คอกสลิ๋ด
ต้นหอม, ใบหอม
ต้นหอม, ผั๋กหอม
แตงกวา, มะแต๋ง
แตงไทย, มะแต๋งลาย
แตงโม, มะเต้า
ถั่วงอก, ถั่วงอก
ถั่วฟักยาว, มะถั่ว
ถั่วพู, ถั่วปู
ถั่วลันเตา, ถั่วน้อย
ถั่วลิสง, ถั่วดิน
น้ำเต้า, มะน้ำ
บวบ, มะนอย
บอน, บอน
บุก, เบือ
บุก, บุ๋ก
ใบกาหลง, ผั๋กเสี้ยว
ใบบัวบก, ผั๋กหนอก
ผักกระเฉต, ผั๋กหนอง
ผักกะเสิม, ผั๋กไผ่
ผักกาด, ผั๋กกาด
ฝักกาดเขียว, ผั๋กกาตจ้อน
ฝักกาดหอม, ผั๋กกาดญี
ฝักกาดหอม, ผั๋กสลั๋ด
ผักกูด, ผั๋กกูด
ผักโขม, ผั๋กหม
ผักโขม, ผั๋กขม
ผักขวง, ผั๋กขี้ขวง
สะเดาดิน, ผั๋กขี้ขวง
ผักคราด, ผั๋กเผ๋ด
ผักคะน้า, ผั๋กคะน้า
ผักชะเลือด, ผั๋กปู่ญ่า
ผักชี, หอมป้อม
ผักชีฝรั่ง, หอมป้อมเป้อ
ผักชีล้อม, ผั๋กจี
ผักชีลาว, ผั๋กจี
ผักตำลึง, ผั๋กแคบ
ผักบุ้ง, ผั๋กบุ้ง
ผักปอด, ผั๋กกุ่มป่า
ผักปลัง, ผั๋กปั๋ง
ผักแว่น, ผั๋กแว่น
ผักเสี้ยน, ผั๋กส้มเสี้ยน
ผักหวาน, ผั๋กหวาน
พลู, ปู
เพกา, มะลิ่ดไม้
ไพล, ปูเลย
เผือก, เผือก
ฟักเขียว, มะฟั่กหม่น
ฟักทอง, ฟั่กแก้ว
มะเขือขื่น, มะเขือแจ้
มะเขือเทศ, มะเขือส้ม
มะเขือเปราะ, มะเขือผ่อย
มะเขือพวง, มะแคว้ง
มะเขือยาว, มะเขือหำม้า
มะเขือยาว, มะเขือญาว
มะระ, มะล่ะ
มะระ, มะห่อย
มะระขี้นก, มะไห่
มะระขี้นก, มะห่อย
มะรุม, มะค้อนก้อม
มะแว้ง, มะแคว้งขม
มะอึก, มะเขือปู่
มันแกว, มันแก๋วลาว
มันแกว, มันแก๋วละแวก
มันเทศ, มันแก๋ว
มันสำปะหลัง, มันต้าง
มันฝรั่ง, มันอะลู
แมงลัก, ก้อมก้อ
ลำโพง, มะเขือบ้า
สะเดา, สะเลียม
หอมแป้น, ผั๋กแป้น
เห็ดฟาง, เห๋คเฟือง
เห็ดหูหนู, เห๋ตหูลั๋วะ
หัวไชเท้า, หัวผั๋กกาด
โหระพา, โหละพา
กล้วยไข่, ก้วยไข่
กล้วยน้ำว้า, ก้วยอ่อง
กล้วยน้ำว้า, ก้วยใต้
กล้วยหอม, ก้วยค้าว
